CASHFLOW FORECAST TEMPLATE - VFEP R&D,,,,,,,,,,,Unit: $US
,Year 1,,,,Year 2,,,,,,
Category,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,,
CASH IN HAND AT BEGINNING OF PERIOD,0,"81,500","49,000","29,000","9,000","194,000","154,000","94,000",,,
,,,,,,,,,,,
CASH IN,,,,,,,,,,,
Initial Investment (Seed Round),"100,000",0,0,0,0,0,0,0,,,
Cash sales (JDA/License Fee),0,0,0,0,0,0,0,0,,,
Other specific cash inflow,0,0,0,0,0,0,0,0,,,
VC & Angel Investment,0,0,0,0,"250,000",0,0,0,,,
TOTAL CASH RECEIPTS,"100,000",0,0,0,"250,000",0,0,0,,,
CASH PAID OUT,,,,,,,,,,,
,,,,,,,,,,,
Equipment Purchases,0,0,0,0,0,0,0,0,,,
I. IP & Legal Registration,,,,,,,,,,,
Company legal registration in Singapore,"3,500",0,0,0,0,0,0,0,,,
Global Patent Application (PCT),0,"9,500",0,0,0,0,0,0,,,
Professional Legal Documents Preparation,"5,000",0,0,0,0,0,0,0,,,
II. R&D Technical & MVP Product Development,,,,,,,,,,,
Research & Engineering Salaries,"10,000","15,000","15,000","20,000","30,000","30,000","40,000","40,000",,,
Engineering Consultant (Gemini AI Pro),0,0,0,0,0,0,0,0,,,
Materials & Equipment (Prototyping),0,"5,000","5,000",0,"10,000","10,000","5,000","5,000",,,
Technical Documenting,0,"3,000",0,0,0,0,0,0,,,
Certification/Audit Fees,0,0,0,0,"25,000",0,0,"25,000",,,
Business Development/Lobbying,0,0,0,0,0,0,"15,000",0,,,
Materials Purchase (15%/sales),0,0,0,0,0,0,0,0,,,
Sales & Marketing (25%/sales),0,0,0,0,0,0,0,0,,,
Other specific expenses,0,0,0,0,0,0,0,0,,,
TOTAL CASH PAID OUT,"18,500","32,500","20,000","20,000","65,000","40,000","60,000","70,000",,,
,,,,,,,,,,,
NET CASHFLOW FOR PERIOD,"81,500","-32,500","-20,000","-20,000","185,000","-40,000","-60,000","-70,000",,,
CASH BALANCE,"81,500","49,000","29,000","9,000","194,000","154,000","94,000","24,000",,,
